#,Player,Nation,Position,Team,League,Age,Born,90s,TotPass,PassAtt,TotDist,PrgDist,ShortPass,ShortPassAtt,MedPass,MedPassAtt,LongPass,LongPassAtt,Asissts,Goals,Shoots,SoT,FreeKicks,SCA,PassLiveToShoot,PassDeadToShoot,DribToShoot,ShootToShoot,FoulToShoot,DefToShoot,GCA,PassLiveToGoal,PassDeadToGoal,DribToGoal,ShootToGoal,FoulToGoal,DefToGoal
15,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,792,914,13102,3265,397,435,299,333,73,101,1,0,2,0,0,25,23,0,1,1,0,0,4,4,0,0,0,0,0
16,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,73,98,1154,299,38,45,29,38,5,8,0,1,3,2,0,11,8,0,2,0,0,1,1,1,0,0,0,0,0
17,Martin Adeline\7587446d,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,107,146,1847,555,44,55,48,60,9,15,0,0,4,1,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0
18,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14.0,392,520,5845,1714,217,258,148,197,14,31,2,3,38,19,0,47,31,1,3,4,4,4,7,5,0,0,1,1,0
19,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,910,1237,19345,6364,360,426,352,432,188,331,7,1,33,15,4,103,67,20,4,3,6,3,13,10,2,0,0,1,0
20,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,216,243,3626,926,104,109,84,93,18,27,0,0,2,2,0,9,7,1,0,0,0,1,0,0,0,0,0,0,0
21,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,125,164,1829,264,73,90,42,52,5,9,0,2,18,7,0,24,16,0,1,2,4,1,3,2,0,1,0,0,0
22,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25,1996,18.0,563,788,10437,5352,234,282,268,350,58,135,1,0,5,0,0,26,20,2,1,0,3,0,2,1,0,1,0,0,0
23,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,61,82,1695,1037,14,14,30,30,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,828,981,15860,4119,345,393,327,370,134,168,0,0,16,1,0,31,24,1,0,4,2,0,1,1,0,0,0,0,0
25,Kevin Agudelo\46fa7204,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,284,385,4222,1221,154,187,111,138,9,25,1,3,22,11,0,38,19,0,7,2,3,7,3,1,0,0,0,0,2
26,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,1956,2174,45056,14662,485,519,1011,1059,450,574,2,2,25,7,0,12,10,0,0,1,1,0,4,3,0,0,0,1,0
27,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,31,43,469,43,18,25,10,15,2,2,0,1,6,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
28,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,1438,1715,25168,9876,679,736,635,730,112,204,2,0,10,2,0,26,21,1,1,0,2,1,3,3,0,0,0,0,0
29,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,2,2,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,30,34,567,86,13,15,9,10,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,770,869,15421,4630,287,303,364,398,113,152,1,0,7,4,0,20,18,0,0,1,0,1,1,1,0,0,0,0,0
32,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,348,411,5513,1046,174,190,134,153,27,45,1,1,17,2,0,22,20,0,1,1,0,0,3,3,0,0,0,0,0
33,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1263,1523,29021,8209,297,337,650,726,301,432,0,0,6,1,0,13,12,0,0,1,0,0,2,2,0,0,0,0,0
34,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,24,1996,16.0,546,757,9656,4260,258,298,217,280,62,135,0,0,10,4,0,35,30,2,2,0,1,0,0,0,0,0,0,0,0
35,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,754,1003,13088,4592,385,420,288,366,76,174,2,1,13,4,0,44,26,10,4,0,2,2,6,4,1,0,0,1,0
36,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,629,873,11601,5267,245,296,295,370,74,153,3,1,7,1,0,28,20,4,1,1,1,1,6,3,1,1,0,1,0
37,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,670,909,10159,1364,384,482,191,261,54,80,8,12,59,24,0,75,55,0,2,7,9,2,9,6,0,0,2,1,0
38,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1801,1986,40191,13222,489,529,951,992,356,447,0,1,14,3,1,11,8,1,1,1,0,0,0,0,0,0,0,0,0
39,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,630,849,11828,4697,264,310,287,358,71,146,0,0,10,1,0,24,16,1,2,1,3,1,1,1,0,0,0,0,0
40,Marley Aké\414e1f69,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,13,17,251,78,3,4,5,7,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,780,855,14444,4178,331,351,364,395,80,98,0,2,5,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
42,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,45,53,625,193,35,36,8,10,2,5,0,0,4,2,0,7,4,0,1,0,2,0,0,0,0,0,0,0,0
43,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,20,22,272,81,13,13,5,6,1,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23,1997,5.7,287,328,5344,1253,117,132,129,142,33,43,0,0,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
45,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,92,113,1285,188,53,63,32,35,2,3,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
46,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17.0,721,930,13623,5475,297,348,331,395,85,152,2,2,12,4,0,27,18,1,3,3,1,1,4,2,0,0,1,0,1
47,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,1804,1967,33608,10916,751,778,811,860,216,285,3,2,21,6,7,46,37,2,1,4,0,2,8,7,0,0,1,0,0
48,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,84,102,1278,378,48,51,32,38,2,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,414,580,9341,2515,137,155,168,220,97,175,1,0,15,2,0,26,13,11,1,0,0,1,3,1,2,0,0,0,0
50,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,106,155,1417,230,66,92,33,43,2,7,0,6,23,13,0,25,16,0,5,1,3,0,4,3,0,1,0,0,0
51,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,2336,2770,40855,15180,1085,1178,1002,1152,222,351,10,2,31,6,1,84,78,2,1,2,1,0,13,12,0,0,1,0,0
52,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,6,8,86,45,3,4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,28,1992,26.1,1643,1976,28022,9086,809,879,631,724,164,302,9,5,47,16,1,112,76,26,2,3,4,1,16,7,6,1,2,0,0
54,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,1337,1528,31802,8859,283,306,720,772,319,418,0,0,6,1,0,9,7,0,0,2,0,0,2,1,0,0,1,0,0
55,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,345,551,5530,2373,200,235,114,172,24,106,2,1,4,1,0,19,14,3,0,0,2,0,2,2,0,0,0,0,0
56,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,124,171,1692,318,72,88,31,46,7,10,3,1,19,8,1,13,11,0,1,1,0,0,6,5,0,1,0,0,0
57,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,1325,1479,28007,7322,455,492,611,657,248,300,4,1,25,6,0,61,52,0,1,5,0,3,6,6,0,0,0,0,0
58,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,551,654,11619,3313,211,231,212,238,116,163,0,2,23,6,5,30,21,4,1,1,3,0,0,0,0,0,0,0,0
59,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24,1996,26.7,578,930,15121,6757,150,185,235,308,184,417,0,2,17,5,0,11,10,0,1,0,0,0,2,2,0,0,0,0,0
60,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,202,343,3420,1403,111,137,56,88,28,92,2,2,12,4,0,37,30,2,3,1,0,1,5,4,0,1,0,0,0
61,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,286,392,8491,5141,37,37,156,159,91,194,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
62,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,23,1998,25.8,689,860,12609,2508,320,360,258,313,99,152,2,1,47,14,0,52,42,1,2,3,4,0,4,4,0,0,0,0,0
63,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2013,2706,44509,18154,727,826,813,1010,451,786,12,2,51,14,5,150,87,52,5,5,1,0,17,11,5,0,1,0,0
64,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,10,14,186,127,4,4,4,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,228,322,3214,599,141,173,61,84,11,29,1,4,42,15,0,39,22,0,5,2,7,3,7,4,0,0,2,1,0
66,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,1178,1360,31704,17522,181,184,655,662,338,510,1,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0
67,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30,1991,24.3,757,967,14541,4232,284,332,354,426,99,157,2,0,7,3,0,32,31,0,0,0,1,0,6,5,0,0,0,1,0
68,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,414,550,6560,1315,225,271,140,183,35,59,2,1,42,15,1,45,27,3,8,3,2,2,3,2,0,0,1,0,0
69,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,167,214,2687,651,94,108,56,69,14,27,0,1,4,2,0,8,5,0,0,0,3,0,1,0,0,0,0,1,0
70,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,114,152,1873,511,51,67,44,52,11,18,0,0,3,0,0,10,9,1,0,0,0,0,1,1,0,0,0,0,0
71,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,406,505,6222,1461,224,254,139,169,28,46,0,1,32,7,0,45,31,0,3,8,2,1,5,4,0,1,0,0,0
72,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,1132,1456,19695,6764,556,629,448,532,108,235,4,4,43,10,9,89,61,15,4,5,2,2,9,7,1,0,1,0,0
73,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,563,818,12687,5508,170,208,246,315,141,268,0,1,18,6,0,25,16,2,0,5,0,2,0,0,0,0,0,0,0
74,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36,1985,0.1,1,3,22,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,825,996,18382,6658,230,250,432,478,159,250,0,0,8,0,0,11,9,0,0,1,0,1,1,1,0,0,0,0,0
76,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,920,1083,16220,5343,469,502,337,375,103,182,3,1,5,2,0,31,23,8,0,0,0,0,4,4,0,0,0,0,0
77,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,22,1998,4.5,207,234,3619,900,92,102,85,90,24,32,0,0,1,1,0,7,7,0,0,0,0,0,1,1,0,0,0,0,0
78,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9.0,386,440,8076,2091,122,129,205,221,56,80,0,1,3,2,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0
79,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,27,40,447,165,15,19,9,12,3,7,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
80,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,1353,1475,27707,7913,405,428,751,788,186,230,0,0,2,1,0,17,16,0,0,0,0,1,1,1,0,0,0,0,0
81,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,166,211,2387,600,98,114,42,59,13,15,1,0,11,4,0,18,10,0,1,2,4,1,2,1,0,0,1,0,0
82,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,268,316,4698,1533,134,146,101,115,28,43,0,0,0,0,0,5,4,0,0,0,1,0,1,0,0,0,0,1,0
83,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,27,1994,1.4,76,88,1404,379,34,38,33,36,9,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84,Wisdom Amey\35b4bc62,it ITA,DF,Bologna,it Serie A,15,2005,0.8,20,29,470,52,7,9,8,10,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,900,1137,15009,6667,455,510,345,426,81,143,1,1,26,7,0,28,21,1,2,2,2,0,1,1,0,0,0,0,0
86,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,184,223,3349,583,81,93,77,87,21,32,0,1,8,2,1,7,5,1,0,0,1,0,1,0,0,0,0,1,0
87,Nadiem Amiri\555d5edd,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,227,307,3645,1045,120,140,83,105,20,49,1,0,16,6,1,29,22,4,2,0,1,0,1,1,0,0,0,0,0
88,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,866,1154,17462,6607,315,380,401,478,137,257,3,0,7,1,0,36,34,1,1,0,0,0,5,5,0,0,0,0,0
89,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,642,711,13919,2929,199,215,310,334,126,142,0,1,4,3,0,16,13,0,0,0,2,1,0,0,0,0,0,0,0
90,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,1813,2197,47245,14431,326,367,962,1034,518,779,3,0,8,3,1,33,29,1,0,1,0,2,5,4,0,0,1,0,0
91,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,28,1993,32.1,1108,1424,17105,4561,640,744,362,461,78,132,8,6,44,16,0,102,80,3,7,3,9,0,17,11,0,4,2,0,0
92,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,168,253,2038,384,108,147,36,64,3,7,1,3,35,13,0,22,18,0,0,1,2,1,4,3,0,0,0,1,0
93,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,28,40,372,45,18,21,8,13,1,2,0,0,3,1,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0
94,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,353,517,6580,3092,145,184,165,225,36,87,0,0,7,3,0,6,5,0,0,1,0,0,1,1,0,0,0,0,0
95,Fredrik André Bjørkan\3724baa1,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,131,164,1981,918,77,87,45,56,7,13,0,0,0,0,0,7,5,1,0,0,1,0,0,0,0,0,0,0,0
96,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,1429,1770,25809,7004,646,747,539,644,188,275,1,2,18,5,0,43,35,0,2,3,1,2,4,3,0,0,1,0,0
97,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,832,1011,14784,4195,380,425,337,397,93,149,2,4,30,7,1,31,21,0,2,4,3,1,5,2,0,0,3,0,0
98,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,599,788,13525,6115,206,243,262,315,127,214,1,1,11,3,0,16,14,1,0,1,0,0,2,1,0,0,1,0,0
99,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,1094,1508,20135,7818,518,576,393,513,153,359,5,2,15,7,0,81,51,23,2,3,1,1,10,6,4,0,0,0,0
100,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,4,11,66,27,2,2,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,34,1986,7.7,293,413,6045,2975,122,135,110,150,56,110,3,0,7,1,0,24,16,3,2,2,1,0,5,4,0,0,1,0,0
102,Janis Antiste\38d9ce53,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,139,212,1967,412,79,112,46,64,6,15,0,1,11,2,0,11,8,0,2,1,0,0,0,0,0,0,0,0,0
103,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,1541,1801,33911,11215,436,471,824,896,265,400,1,2,23,6,0,30,25,1,0,0,1,3,2,2,0,0,0,0,0
104,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,20,25,317,70,11,11,4,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,466,708,7552,1461,256,333,145,213,45,84,8,10,83,27,0,102,65,0,13,10,8,6,17,9,0,1,4,2,1
106,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,164,262,2616,816,90,121,60,90,11,30,1,1,29,10,0,23,12,2,0,3,5,1,2,1,0,0,0,1,0
107,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,1274,1460,20266,4917,703,764,430,485,105,143,4,6,77,25,0,102,74,3,9,9,4,3,6,5,0,0,1,0,0
108,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12.0,480,631,8988,2285,237,277,139,172,79,135,4,0,22,10,0,35,20,7,2,0,6,0,6,4,1,0,0,1,0
109,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,776,995,14629,6615,320,362,337,414,111,185,0,0,2,0,0,16,13,1,1,0,0,1,0,0,0,0,0,0,0
110,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,25,1995,29.6,947,1262,21303,5331,348,411,339,410,241,388,5,0,37,8,2,70,30,29,4,2,3,2,11,4,4,2,0,0,1
111,Mattia Aramu\0847b5a5,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,529,804,9556,3370,246,301,197,263,74,193,5,7,57,16,17,71,31,19,4,2,14,1,10,7,1,0,0,2,0
112,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,911,1087,17479,5054,346,393,410,460,128,185,4,1,11,3,0,33,30,1,1,0,0,1,6,5,0,1,0,0,0
113,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,1330,1520,29730,6600,331,364,710,762,281,372,0,0,8,1,0,8,6,0,1,1,0,0,2,2,0,0,0,0,0
114,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,1485,1643,31687,8608,405,426,827,875,240,323,0,4,19,10,0,13,10,0,0,2,1,0,0,0,0,0,0,0,0
115,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,19,2001,0.3,5,5,91,28,1,1,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,20,41,768,546,0,0,9,9,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,49,74,1027,518,16,17,24,38,9,19,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
118,Matias Arezo\484ebdb0,uy URU,FW,Granada,es La Liga,18,2002,1.8,23,39,316,138,15,23,6,10,1,2,0,0,5,3,0,7,6,0,0,1,0,0,1,0,0,0,1,0,0
119,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,29,1992,4.9,164,223,2943,1285,63,77,80,106,18,33,0,1,3,1,0,8,5,1,1,0,1,0,0,0,0,0,0,0,0
120,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,223,315,3764,609,106,136,96,127,16,32,2,2,47,14,0,29,17,0,4,4,4,0,3,2,0,0,0,1,0
121,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,583,734,9335,2293,304,366,218,254,43,69,0,2,38,9,0,51,40,2,2,2,4,1,2,1,0,0,0,1,0
122,Marko Arnautović\00459419,at AUT,FW,Bologna,it Serie A,32,1989,29.9,683,927,9972,1619,387,504,230,295,35,54,1,14,91,32,3,82,64,0,6,8,2,2,6,4,0,1,1,0,0
123,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,1445,1848,33220,10595,419,480,640,709,360,607,2,4,40,14,13,95,48,44,0,0,3,0,5,3,1,0,0,1,0
124,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,115,139,2763,1294,28,28,59,59,27,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
